Song,Artist,Album,Release Date,Peak Date,Peak Rank
Bizarre Love Triangle,New Order,Brotherhood,11/3/86,7/21/95,98
True Faith,New Order,Substance,7/20/87,12/25/87,32
Blue Monday '88,New Order,Non-Album,4/25/88,5/20/88,68
Round & Round,New Order,Technique,2/27/89,5/19/89,64
Regret,New Order,Republic,4/24/93,7/9/93,28
World (The Price of Love),New Order,Republic,9/11/93,9/10/93,92
