Song,Artist,Album,Release Date,Peak Date,Peak Rank
Stutter,Elastica,Elastica,11/1/93,11/13/93,80
Line Up,Elastica,Elastica,1/31/94,2/12/94,20
Connection,Elastica,Elastica,10/10/94,10/22/94,17
Waking Up,Elastica,Elastica,2/2/95,2/25/95,13
Mad Dog God Dam,Elastica,The Menace,6/12/00,6/24/00,44
The Bitch Don't Work,Elastica,Non-Album,11/26/01,12/8/01,87
