Song,Artist,Album,Release Date,Peak Date,Peak Rank
Stutter,Elastica,Elastica,11/1/93,8/12/95,10
Connection,Elastica,Elastica,10/10/94,5/6/95,2
Car Song,Elastica,Elastica,11/1/95,12/23/95,33
