Name,Tenure Start,Tenure End,Position
Justine Frischmann,9/1/92,10/1/01,Vocals/Guitar
Justin Welch,9/1/92,10/1/01,Drums
Annie Holland,9/1/92,8/6/95,Bass
Donna Matthews,9/1/92,12/1/98,Guitar/Vocals
Abby Travis,8/10/95,2/4/96,Bass
David Bush,3/1/96,10/1/01,Keyboards
Sheila Chipperfield,3/1/96,7/1/98,Bass
Annie Holland,7/1/98,10/1/01,Bass
Paul Jones,12/1/98,10/1/01,Guitar
Sharon Mew,4/1/99,10/1/01,Keyboards/Vocals
