Artist,Album,Release Date,Peak Date,Peak Rank
New Order,Low-Life,5/13/85,6/28/85,94
New Order,Brotherhood,9/29/86,11/21/86,117
New Order,Substance,8/17/87,1/29/88,36
New Order,Technique,1/30/89,3/10/89,32
New Order,Republic,5/3/93,5/28/93,11
New Order,The Best of New Order,11/21/94,4/7/95,78
New Order,Get Ready,8/27/01,11/2/01,41
New Order,Waiting for the Sirens' Call,3/28/05,5/13/05,46
New Order,Music Complete,9/25/15,10/16/15,34
