Artist,Album,Release Date,Peak Date,Peak Rank
Elastica,Elastica,3/13/95,3/25/95,1
Elastica,The Menace,4/3/00,4/15/00,24
Elastica,The Radio One Sessions,10/29/01,10/29/01,-
